Name,WHO Region,Cases - cumulative total,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours
United States of America,Americas,36547639,889794,0,616711,4651,0
India,South-East Asia,32250679,252521,25166,432079,3397,437
Brazil,Americas,20364099,198427,13957,569058,5907,270
Russian Federation,Europe,6642559,151271,20958,172110,5668,805
France,Europe,6317130,155523,5829,111509,352,68
The United Kingdom,Europe,6295617,201370,28176,130979,622,26
Turkey,Europe,6096816,154545,18163,53324,1011,165
Argentina,Americas,5084635,65740,3727,109041,1582,105
Colombia,Americas,4867761,28777,3132,123459,1001,103
Spain,Europe,4719266,79879,0,82595,317,0
Iran ,Eastern Mediterranean,4467015,267478,41194,98483,3880,655
Italy,Europe,4444338,43721,3669,128456,214,24
Indonesia,South-East Asia,3892479,173658,20741,120013,9394,1180
Germany,Europe,3827051,32622,3912,91899,96,28
